route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
64,17-SEP_SUN,21736564_2535,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736565_2537,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736566_2539,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736567_2541,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736568_2543,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736569_2545,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736570_2547,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736571_2549,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736572_2551,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736573_551,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736574_555,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736575_559,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736576_564,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736577_568,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736578_572,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736579_576,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736580_581,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736581_585,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736582_589,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736583_593,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736584_2533,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736585_546,SOUTHRIDGE,1,64102,17-SEP_64_1_19
64,17-SEP_SUN,21736586_2553,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736587_2555,60TH-VLIET,0,64102,17-SEP_64_0_23
64,17-SEP_SUN,21736588_2556,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736589_548,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736590_553,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736591_557,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736592_562,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736593_566,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736594_570,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736595_574,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736596_578,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736597_583,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736598_587,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736599_591,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736600_596,SOUTHRIDGE,1,64101,17-SEP_64_1_19
64,17-SEP_SUN,21736601_2534,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736602_2536,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736603_2538,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736604_2540,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736605_2542,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736606_2544,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736607_2546,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736608_2548,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736609_2550,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736610_2552,60TH-VLIET,0,64101,17-SEP_64_0_23
64,17-SEP_SUN,21736611_2554,60TH-VLIET,0,64101,17-SEP_64_0_23
31,17-SEP_SUN,21736616_1720,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736617_2008,DOWNTOWN,0,31302,17-SEP_31_0_73
31,17-SEP_SUN,21736618_1721,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736619_1722,DOWNTOWN,0,31302,17-SEP_31_0_68
31,17-SEP_SUN,21736620_1723,DOWNTOWN,0,31303,17-SEP_31_0_68
31,17-SEP_SUN,21736621_2011,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736622_2013,DOWNTOWN,0,31301,17-SEP_31_0_73
31,17-SEP_SUN,21736623_2016,DOWNTOWN,0,31302,17-SEP_31_0_73
31,17-SEP_SUN,21736624_2020,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736625_2023,DOWNTOWN,0,31302,17-SEP_31_0_73
31,17-SEP_SUN,21736626_2026,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736627_2033,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736628_2036,DOWNTOWN,0,31302,17-SEP_31_0_73
31,17-SEP_SUN,21736629_2039,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736630_2046,DOWNTOWN,0,31303,17-SEP_31_0_73
31,17-SEP_SUN,21736631_2061,DOWNTOWN,0,31304,17-SEP_31_0_73
31,17-SEP_SUN,21736632_1737,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736633_2065,DOWNTOWN,0,31304,17-SEP_31_0_73
31,17-SEP_SUN,21736634_1724,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736635_1725,DOWNTOWN,0,31304,17-SEP_31_0_68
31,17-SEP_SUN,21736636_1726,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736637_1728,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736638_1729,DOWNTOWN,0,31304,17-SEP_31_0_68
31,17-SEP_SUN,21736639_1730,DOWNTOWN,0,31301,17-SEP_31_0_68
31,17-SEP_SUN,21736640_1731,DOWNTOWN,0,31304,17-SEP_31_0_68
31,17-SEP_SUN,21736641_851,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736642_852,MAYFAIR,1,31302,17-SEP_31_1_76
31,17-SEP_SUN,21736643_854,MAYFAIR,1,31303,17-SEP_31_1_76
31,17-SEP_SUN,21736644_856,MAYFAIR,1,31301,17-SEP_31_1_76
31,17-SEP_SUN,21736645_858,MAYFAIR,1,31302,17-SEP_31_1_76
31,17-SEP_SUN,21736646_860,MAYFAIR,1,31303,17-SEP_31_1_76
31,17-SEP_SUN,21736647_862,MAYFAIR,1,31302,17-SEP_31_1_76
31,17-SEP_SUN,21736648_864,MAYFAIR,1,31303,17-SEP_31_1_76
31,17-SEP_SUN,21736649_868,MAYFAIR,1,31303,17-SEP_31_1_76
31,17-SEP_SUN,21736650_870,MAYFAIR,1,31302,17-SEP_31_1_76
31,17-SEP_SUN,21736651_872,MAYFAIR,1,31303,17-SEP_31_1_76
31,17-SEP_SUN,21736652_874,MAYFAIR,1,31302,17-SEP_31_1_76
31,17-SEP_SUN,21736653_885,MAYFAIR,1,31304,17-SEP_31_1_76
31,17-SEP_SUN,21736654_887,MAYFAIR,1,31304,17-SEP_31_1_76
31,17-SEP_SUN,21736655_888,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736656_889,MAYFAIR,1,31304,17-SEP_31_1_76
31,17-SEP_SUN,21736657_855,MEDICAL CENTER - VIA STATE ST.,1,31302,17-SEP_31_1_75
31,17-SEP_SUN,21736658_857,MEDICAL CENTER - VIA STATE ST.,1,31303,17-SEP_31_1_75
31,17-SEP_SUN,21736659_859,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736660_861,MEDICAL CENTER - VIA STATE ST.,1,31304,17-SEP_31_1_75
31,17-SEP_SUN,21736661_863,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736662_867,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736663_869,MEDICAL CENTER - VIA STATE ST.,1,31304,17-SEP_31_1_75
31,17-SEP_SUN,21736664_871,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736665_873,MEDICAL CENTER - VIA STATE ST.,1,31304,17-SEP_31_1_75
31,17-SEP_SUN,21736666_853,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
31,17-SEP_SUN,21736667_875,MEDICAL CENTER - VIA STATE ST.,1,31301,17-SEP_31_1_75
